Process running on:  iscpc88.epfl.ch
Time is:             Mon Aug 5 17:38:42 CEST 2024
Start Time is:             Mon Aug 5 17:38:42 CEST 2024
[2024-08-05 17:38:49,701][HYDRA] Launching 18 jobs locally
[2024-08-05 17:38:49,701][HYDRA] 	#0 : use_wandb=False algorithm=gbs seed=2 target=gaussian_mixture10 target.dim=10
2024-08-05 17:38:57.704039: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
[2024-08-05 17:39:07,271][jax._src.xla_bridge][INFO] - Unable to initialize backend 'rocm': module 'jaxlib.xla_extension' has no attribute 'GpuAllocatorConfig'
[2024-08-05 17:39:07,292][jax._src.xla_bridge][INFO] - Unable to initialize backend 'tpu': INTERNAL: Failed to open libtpu.so: libtpu.so: cannot open shared object file: No such file or directory
2024-08-05 17:39:08.087792: W external/xla/xla/service/gpu/nvptx_compiler.cc:836] The NVIDIA driver's CUDA version is 12.5 which is older than the PTX compiler version (12.6.20). Because the driver is older than the PTX compiler version, XLA is disabling parallel compilation, which may slow down compilation. You should update your NVIDIA driver or use the NVIDIA-provided CUDA forward compatibility packages.
Step 0: ELBO -69.13829803466797; Δ lnZ -4.098158359527588; reverse_ESS 0.0005881276447325945
Step 3500: ELBO -64.8846206665039; Δ lnZ -26.488069534301758; reverse_ESS 0.0013866546796634793
Step 3600: ELBO -64.37919616699219; Δ lnZ -25.439254760742188; reverse_ESS 0.0008259373134933412
Step 3700: ELBO -63.35319900512695; Δ lnZ -23.624717712402344; reverse_ESS 0.0012062817113474011
Step 3800: ELBO -62.53507995605469; Δ lnZ -20.123857498168945; reverse_ESS 0.0005000553210265934
Step 3900: ELBO -63.855289459228516; Δ lnZ -23.159950256347656; reverse_ESS 0.0005268299719318748
Step 4000: ELBO -63.76626205444336; Δ lnZ -25.95137596130371; reverse_ESS 0.0022610111627727747
Step 4100: ELBO -63.414039611816406; Δ lnZ -23.53105926513672; reverse_ESS 0.0010393786942586303
Step 4200: ELBO -64.85215759277344; Δ lnZ -21.635082244873047; reverse_ESS 0.0011360850185155869
Step 4300: ELBO -64.7097396850586; Δ lnZ -17.815914154052734; reverse_ESS 0.0005002602119930089
Step 4400: ELBO -63.970401763916016; Δ lnZ -21.328256607055664; reverse_ESS 0.0008470533648505807
Step 4500: ELBO -63.46153259277344; Δ lnZ -22.27109146118164; reverse_ESS 0.0005488665774464607
Step 4600: ELBO -65.92916870117188; Δ lnZ -25.608898162841797; reverse_ESS 0.002780500566586852
Step 4700: ELBO -63.03329086303711; Δ lnZ -10.76543140411377; reverse_ESS 0.0005000217352062464
Step 4800: ELBO -64.57862091064453; Δ lnZ -24.168399810791016; reverse_ESS 0.0021008432377129793
Step 4900: ELBO -65.17852020263672; Δ lnZ -23.619001388549805; reverse_ESS 0.0005934275104664266
Step 5000: ELBO -63.24976348876953; Δ lnZ -18.31064224243164; reverse_ESS 0.0005239630118012428
Step 5100: ELBO -64.78668975830078; Δ lnZ -19.29395294189453; reverse_ESS 0.0005147358169779181
Step 5200: ELBO -64.0910873413086; Δ lnZ -15.1751070022583; reverse_ESS 0.000500014575663954
Step 5300: ELBO -64.5617446899414; Δ lnZ -20.404327392578125; reverse_ESS 0.0007308783824555576
Step 5400: ELBO -65.29181671142578; Δ lnZ -22.872068405151367; reverse_ESS 0.0007535432232543826
Step 5500: ELBO -63.61301040649414; Δ lnZ -21.59624671936035; reverse_ESS 0.0007378559093922377
Step 5600: ELBO -64.21951293945312; Δ lnZ -17.351882934570312; reverse_ESS 0.0005003321566618979
Step 5700: ELBO -64.78648376464844; Δ lnZ -23.819862365722656; reverse_ESS 0.0009306016145274043
Step 5800: ELBO -64.43109130859375; Δ lnZ -14.466404914855957; reverse_ESS 0.0005004035774618387
Step 5900: ELBO -64.26589965820312; Δ lnZ -15.405539512634277; reverse_ESS 0.0006817772518843412
Step 6000: ELBO -66.17617797851562; Δ lnZ -22.133792877197266; reverse_ESS 0.0010125440312549472
Step 6100: ELBO -64.2740478515625; Δ lnZ -23.661340713500977; reverse_ESS 0.0009147331584244967
Step 6200: ELBO -63.540443420410156; Δ lnZ -20.469236373901367; reverse_ESS 0.0010298247216269374
Step 6300: ELBO -64.07022094726562; Δ lnZ -20.626323699951172; reverse_ESS 0.0005039816605858505
Step 6400: ELBO -64.68305206298828; Δ lnZ -17.524063110351562; reverse_ESS 0.0005979574052616954
Step 6500: ELBO -65.01908111572266; Δ lnZ -19.35201644897461; reverse_ESS 0.0005293256253935397
Step 6600: ELBO -66.01809692382812; Δ lnZ -23.7213191986084; reverse_ESS 0.001286074984818697
Step 6700: ELBO -64.9372787475586; Δ lnZ -19.577531814575195; reverse_ESS 0.0005950444610789418
Step 6800: ELBO -64.10112762451172; Δ lnZ -20.985305786132812; reverse_ESS 0.0007886432576924562
Step 6900: ELBO -64.50237274169922; Δ lnZ -22.07131576538086; reverse_ESS 0.0010578425135463476
Step 7000: ELBO -65.42899322509766; Δ lnZ -25.807287216186523; reverse_ESS 0.002186853438615799
Step 7100: ELBO -65.00658416748047; Δ lnZ -27.557199478149414; reverse_ESS 0.0019330845680087805
Step 7200: ELBO -64.13273620605469; Δ lnZ -23.88309097290039; reverse_ESS 0.0007216552039608359
Step 7300: ELBO -66.687744140625; Δ lnZ -16.49626922607422; reverse_ESS 0.0005001098033972085
Step 7400: ELBO -64.151611328125; Δ lnZ -24.212326049804688; reverse_ESS 0.001550401677377522
Step 7500: ELBO -64.3425064086914; Δ lnZ -18.530902862548828; reverse_ESS 0.0005697928136214614
Step 7600: ELBO -67.4631576538086; Δ lnZ -22.962379455566406; reverse_ESS 0.001043410855345428
Step 7700: ELBO -65.3759765625; Δ lnZ -26.260513305664062; reverse_ESS 0.0016583794495090842
Step 7800: ELBO -64.85120391845703; Δ lnZ -25.956928253173828; reverse_ESS 0.0010360203450545669
Step 7900: ELBO -63.891273498535156; Δ lnZ -21.127853393554688; reverse_ESS 0.0005406468990258873
Step 8000: ELBO -65.0949935913086; Δ lnZ -24.857755661010742; reverse_ESS 0.0011050188913941383
Step 8100: ELBO -64.06803894042969; Δ lnZ -11.714580535888672; reverse_ESS 0.0005000007222406566
Step 8200: ELBO -64.96988677978516; Δ lnZ -22.602243423461914; reverse_ESS 0.0005076512461528182
Step 8300: ELBO -65.4992904663086; Δ lnZ -20.355560302734375; reverse_ESS 0.0005538545665331185
Step 8400: ELBO -65.6790771484375; Δ lnZ -24.564193725585938; reverse_ESS 0.001158657018095255
Step 8500: ELBO -65.49039459228516; Δ lnZ -23.6174259185791; reverse_ESS 0.0008428475703112781
Step 8600: ELBO -63.998924255371094; Δ lnZ -22.70258331298828; reverse_ESS 0.0005217842990532517
Step 8700: ELBO -65.24598693847656; Δ lnZ -20.281007766723633; reverse_ESS 0.0005011396715417504
Step 8800: ELBO -65.75796508789062; Δ lnZ -16.817195892333984; reverse_ESS 0.0008001663372851908
Step 8900: ELBO -64.93214416503906; Δ lnZ -24.41685676574707; reverse_ESS 0.0005117448163218796
Step 9000: ELBO -65.15715026855469; Δ lnZ -25.072072982788086; reverse_ESS 0.0005258204764686525
Step 9100: ELBO -64.59359741210938; Δ lnZ -22.95963478088379; reverse_ESS 0.0008855261839926243
Step 9200: ELBO -65.5351791381836; Δ lnZ -24.93008041381836; reverse_ESS 0.0009222233202308416
Step 9300: ELBO -65.75333404541016; Δ lnZ -21.693580627441406; reverse_ESS 0.0008910745964385569
Step 9400: ELBO -66.12650299072266; Δ lnZ -22.777372360229492; reverse_ESS 0.0006565868388861418
Step 9500: ELBO -66.39789581298828; Δ lnZ -20.295127868652344; reverse_ESS 0.0005017921794205904
Step 9600: ELBO -65.95468139648438; Δ lnZ -19.57992172241211; reverse_ESS 0.0005001374520361423
Step 9700: ELBO -63.980926513671875; Δ lnZ -16.083492279052734; reverse_ESS 0.0005384863470681012
Step 9800: ELBO -66.01976776123047; Δ lnZ -22.572769165039062; reverse_ESS 0.0005029022577218711
Step 9900: ELBO -65.04539489746094; Δ lnZ -23.89857292175293; reverse_ESS 0.000619753438513726
Step 9999: ELBO -64.6808090209961; Δ lnZ -22.418289184570312; reverse_ESS 0.0005221469909884036
[2024-08-05 19:42:27,606][HYDRA] 	#3 : use_wandb=False algorithm=gbs seed=2 target=student_t_mixture target.dim=10
Step 0: ELBO -19.695837020874023; Δ lnZ -6.121824264526367; reverse_ESS 0.001184685155749321
Step 100: ELBO -18.149078369140625; Δ lnZ -4.307867050170898; reverse_ESS 0.0007489210111089051
Step 200: ELBO -18.026620864868164; Δ lnZ -4.491001129150391; reverse_ESS 0.00096797791775316
Step 300: ELBO -17.38813018798828; Δ lnZ -2.5381202697753906; reverse_ESS 0.001579426578246057
Step 400: ELBO -17.62489128112793; Δ lnZ -4.045950889587402; reverse_ESS 0.002152623375877738
Step 500: ELBO -17.017864227294922; Δ lnZ -3.293976306915283; reverse_ESS 0.0019146105041727424
Step 600: ELBO -16.6600399017334; Δ lnZ -3.7714693546295166; reverse_ESS 0.0024494940880686045
Step 700: ELBO -16.669103622436523; Δ lnZ -3.9538590908050537; reverse_ESS 0.003967809956520796
Step 800: ELBO -16.276357650756836; Δ lnZ -1.0390357971191406; reverse_ESS 0.000526923278812319
Step 900: ELBO -15.923335075378418; Δ lnZ -3.1504244804382324; reverse_ESS 0.0009554012212902308
Step 1000: ELBO -15.59467887878418; Δ lnZ -2.9579715728759766; reverse_ESS 0.0008969826740212739
Step 1100: ELBO -15.769014358520508; Δ lnZ -4.892100811004639; reverse_ESS 0.001556433504447341
Step 1200: ELBO -15.640625953674316; Δ lnZ -2.5177087783813477; reverse_ESS 0.0016702909488230944
Step 1300: ELBO -15.109869956970215; Δ lnZ -3.846519947052002; reverse_ESS 0.0016231643967330456
Step 1400: ELBO -15.302491188049316; Δ lnZ -3.067626476287842; reverse_ESS 0.0006955157150514424
Step 1500: ELBO -14.996274948120117; Δ lnZ -2.120208263397217; reverse_ESS 0.0006128055974841118
Step 1600: ELBO -14.82542610168457; Δ lnZ -3.0075926780700684; reverse_ESS 0.0021103499457240105
Step 1700: ELBO -14.82317066192627; Δ lnZ -2.0331926345825195; reverse_ESS 0.0007865719962865114
Step 1800: ELBO -14.407904624938965; Δ lnZ -3.3761186599731445; reverse_ESS 0.0035008322447538376
Step 1900: ELBO -14.42672061920166; Δ lnZ -2.3965306282043457; reverse_ESS 0.002702586818486452
Step 2000: ELBO -14.301973342895508; Δ lnZ -1.4793696403503418; reverse_ESS 0.0014169819187372923
Step 2100: ELBO -14.260117530822754; Δ lnZ -1.1987619400024414; reverse_ESS 0.0007137117790989578
Step 2200: ELBO -13.86290168762207; Δ lnZ -2.379279136657715; reverse_ESS 0.0009983896743506193
Step 2300: ELBO -13.85434627532959; Δ lnZ -2.763514518737793; reverse_ESS 0.0027593548875302076
Step 2400: ELBO -13.669670104980469; Δ lnZ -0.9939432144165039; reverse_ESS 0.0006572996499016881
Step 2500: ELBO -13.682090759277344; Δ lnZ -2.2189741134643555; reverse_ESS 0.001122207148000598
Step 2600: ELBO -13.51111888885498; Δ lnZ -2.8296213150024414; reverse_ESS 0.003076758235692978
Step 2700: ELBO -13.625164985656738; Δ lnZ -1.5253238677978516; reverse_ESS 0.0008602134766988456
Step 2800: ELBO -13.283161163330078; Δ lnZ -2.229248523712158; reverse_ESS 0.0006782424752600491
Step 2900: ELBO -13.316353797912598; Δ lnZ -0.8199553489685059; reverse_ESS 0.000914823089260608
Step 3000: ELBO -13.257437705993652; Δ lnZ -3.5969161987304688; reverse_ESS 0.004134189337491989
Step 3100: ELBO -13.100086212158203; Δ lnZ -1.7927613258361816; reverse_ESS 0.0024383668787777424
Step 3200: ELBO -13.009099960327148; Δ lnZ 1.3472614288330078; reverse_ESS 0.0006031281081959605
Step 3300: ELBO -12.762216567993164; Δ lnZ -0.6320815086364746; reverse_ESS 0.000585712434258312
Step 3400: ELBO -12.815805435180664; Δ lnZ -2.7016730308532715; reverse_ESS 0.0029457262717187405
Step 3500: ELBO -12.917571067810059; Δ lnZ -0.8983306884765625; reverse_ESS 0.0006392260547727346
Step 3600: ELBO -12.85276985168457; Δ lnZ -1.636117935180664; reverse_ESS 0.0014909905148670077
Step 3700: ELBO -12.71666145324707; Δ lnZ -1.4887995719909668; reverse_ESS 0.00065565702971071
Step 3800: ELBO -12.62387466430664; Δ lnZ -0.8785552978515625; reverse_ESS 0.001048048841767013
Step 3900: ELBO -12.639204978942871; Δ lnZ 2.2598180770874023; reverse_ESS 0.0006937138387002051
Step 4000: ELBO -12.349174499511719; Δ lnZ -1.3737993240356445; reverse_ESS 0.000940187310334295
Step 4100: ELBO -12.43941879272461; Δ lnZ -2.136253833770752; reverse_ESS 0.0013561766827479005
Step 4200: ELBO -12.436867713928223; Δ lnZ -0.6337199211120605; reverse_ESS 0.0005577151896432042
Step 4300: ELBO -12.467416763305664; Δ lnZ -1.6624808311462402; reverse_ESS 0.001238269149325788
Step 4400: ELBO -12.387361526489258; Δ lnZ -3.1983847618103027; reverse_ESS 0.0016039363108575344
Step 4500: ELBO -12.291316032409668; Δ lnZ -2.6907896995544434; reverse_ESS 0.0012887452030554414
Step 4600: ELBO -12.131117820739746; Δ lnZ -2.04182767868042; reverse_ESS 0.0011432386236265302
Step 4700: ELBO -12.194902420043945; Δ lnZ -2.5144734382629395; reverse_ESS 0.0024920660071074963
Step 4800: ELBO -12.123281478881836; Δ lnZ -0.6028199195861816; reverse_ESS 0.0005460139946080744
Step 4900: ELBO -12.36745834350586; Δ lnZ -2.7394981384277344; reverse_ESS 0.004902506712824106
Step 5000: ELBO -12.17264175415039; Δ lnZ -1.845046043395996; reverse_ESS 0.0008462945697829127
Step 5100: ELBO -12.019787788391113; Δ lnZ -1.757957935333252; reverse_ESS 0.00381922977976501
Step 5200: ELBO -12.1185302734375; Δ lnZ -1.9110641479492188; reverse_ESS 0.0013733766973018646
Step 5300: ELBO -12.09489631652832; Δ lnZ -3.714249849319458; reverse_ESS 0.005826721899211407
Step 5400: ELBO -11.942621231079102; Δ lnZ -0.6787376403808594; reverse_ESS 0.0008177110576070845
Step 5500: ELBO -11.899033546447754; Δ lnZ -2.316600799560547; reverse_ESS 0.00428870739415288
Step 5600: ELBO -12.136930465698242; Δ lnZ -2.3739137649536133; reverse_ESS 0.0030030023772269487
Step 5700: ELBO -12.038596153259277; Δ lnZ -1.462228775024414; reverse_ESS 0.0014298383612185717
Step 5800: ELBO -12.13223648071289; Δ lnZ -2.5144052505493164; reverse_ESS 0.004080615937709808
Step 5900: ELBO -12.000906944274902; Δ lnZ 0.281033992767334; reverse_ESS 0.0006722590769641101
Step 6000: ELBO -11.765664100646973; Δ lnZ -2.5172009468078613; reverse_ESS 0.007484429515898228
Step 6100: ELBO -11.752336502075195; Δ lnZ -1.570655345916748; reverse_ESS 0.0012856508838012815
Step 6200: ELBO -11.595769882202148; Δ lnZ 0.05550193786621094; reverse_ESS 0.0016654528444632888
Step 6300: ELBO -11.968728065490723; Δ lnZ -4.224474906921387; reverse_ESS 0.008292139507830143
Step 6400: ELBO -12.050559043884277; Δ lnZ -1.5735220909118652; reverse_ESS 0.0016777864657342434
Step 6500: ELBO -11.77195930480957; Δ lnZ -1.805239200592041; reverse_ESS 0.0025206299033015966
Step 6600: ELBO -11.991461753845215; Δ lnZ -0.7261385917663574; reverse_ESS 0.0027777061332017183
Step 6700: ELBO -11.735268592834473; Δ lnZ -2.431760787963867; reverse_ESS 0.0032768433447927237
Step 6800: ELBO -11.714911460876465; Δ lnZ -0.9478344917297363; reverse_ESS 0.001076856511645019
Step 6900: ELBO -11.54712963104248; Δ lnZ -2.2347049713134766; reverse_ESS 0.004068025387823582
Step 7000: ELBO -11.937817573547363; Δ lnZ -1.0033392906188965; reverse_ESS 0.0010876011801883578
Step 7100: ELBO -11.591574668884277; Δ lnZ -1.5423755645751953; reverse_ESS 0.0008272903505712748
Step 7200: ELBO -11.865836143493652; Δ lnZ -3.149759292602539; reverse_ESS 0.001399304368533194
Step 7300: ELBO -11.981379508972168; Δ lnZ -1.87369966506958; reverse_ESS 0.0012530316598713398
Step 7400: ELBO -11.672633171081543; Δ lnZ -0.6662287712097168; reverse_ESS 0.001303426455706358
Step 7500: ELBO -11.763795852661133; Δ lnZ -1.5835871696472168; reverse_ESS 0.0017664323095232248
Step 7600: ELBO -11.489457130432129; Δ lnZ -2.117021083831787; reverse_ESS 0.003677590750157833
Step 7700: ELBO -11.491341590881348; Δ lnZ -0.9168262481689453; reverse_ESS 0.000854550744406879
Step 7800: ELBO -11.718098640441895; Δ lnZ -3.251586437225342; reverse_ESS 0.006240574177354574
Step 7900: ELBO -11.632064819335938; Δ lnZ -1.8525023460388184; reverse_ESS 0.0010824328055605292
Step 8000: ELBO -11.45966625213623; Δ lnZ -2.5187621116638184; reverse_ESS 0.003461821237578988
Step 8100: ELBO -11.591184616088867; Δ lnZ -0.8103723526000977; reverse_ESS 0.0019843962509185076
Step 8200: ELBO -11.669170379638672; Δ lnZ -2.6975769996643066; reverse_ESS 0.0015217363834381104
Step 8300: ELBO -11.651305198669434; Δ lnZ -0.8811502456665039; reverse_ESS 0.0012456998229026794
Step 8400: ELBO -11.638611793518066; Δ lnZ -1.4977693557739258; reverse_ESS 0.0019586803391575813
Step 8500: ELBO -11.477389335632324; Δ lnZ -2.0028762817382812; reverse_ESS 0.0009968619560822845
Step 8600: ELBO -11.526336669921875; Δ lnZ -3.299912929534912; reverse_ESS 0.006646788213402033
Step 8700: ELBO -11.356789588928223; Δ lnZ -0.44876956939697266; reverse_ESS 0.001933006220497191
Step 8800: ELBO -11.30449104309082; Δ lnZ -1.972395896911621; reverse_ESS 0.005420173052698374
Step 8900: ELBO -11.449141502380371; Δ lnZ 0.26279163360595703; reverse_ESS 0.0005325056845322251
Step 9000: ELBO -11.309295654296875; Δ lnZ -3.054476737976074; reverse_ESS 0.003342663636431098
Step 9100: ELBO -11.270267486572266; Δ lnZ -0.5265645980834961; reverse_ESS 0.0007288148626685143
Step 9200: ELBO -11.448820114135742; Δ lnZ -1.8966608047485352; reverse_ESS 0.0011257965816184878
Step 9300: ELBO -11.064844131469727; Δ lnZ -1.872593879699707; reverse_ESS 0.006473868619650602
Step 9400: ELBO -11.150580406188965; Δ lnZ -0.629915714263916; reverse_ESS 0.0019804530311375856
Step 9500: ELBO -11.381471633911133; Δ lnZ -1.557978630065918; reverse_ESS 0.0035012331791222095
Step 9600: ELBO -11.463635444641113; Δ lnZ -1.6289315223693848; reverse_ESS 0.0011670497478917241
Step 9700: ELBO -11.43263053894043; Δ lnZ -1.4281654357910156; reverse_ESS 0.0009300702367909253
Step 9800: ELBO -11.250502586364746; Δ lnZ -1.372243881225586; reverse_ESS 0.001614497392438352
Step 9900: ELBO -11.380098342895508; Δ lnZ -3.041761875152588; reverse_ESS 0.005870620254427195
Step 9999: ELBO -11.2042236328125; Δ lnZ -1.7431249618530273; reverse_ESS 0.0030260481871664524
[2024-08-05 20:13:48,613][HYDRA] 	#4 : use_wandb=False algorithm=gbs seed=2 target=student_t_mixture target.dim=100
Step 0: ELBO -236.29913330078125; Δ lnZ -180.0929718017578; reverse_ESS 0.0005011852481402457
Step 100: ELBO -218.23739624023438; Δ lnZ -164.0156707763672; reverse_ESS 0.0009959390154108405
Step 200: ELBO -218.39581298828125; Δ lnZ -159.9135284423828; reverse_ESS 0.0005080151604488492
Step 300: ELBO -216.1305389404297; Δ lnZ -150.74659729003906; reverse_ESS 0.000502494745887816
Step 400: ELBO -213.76773071289062; Δ lnZ -149.6253204345703; reverse_ESS 0.0005007627187296748
Step 500: ELBO -213.36679077148438; Δ lnZ -151.74856567382812; reverse_ESS 0.0005152974044904113
Step 600: ELBO -213.309326171875; Δ lnZ -160.2773895263672; reverse_ESS 0.0009706629207357764
Step 700: ELBO -213.58900451660156; Δ lnZ -158.40541076660156; reverse_ESS 0.000683098507579416
Step 800: ELBO -212.45472717285156; Δ lnZ -156.66729736328125; reverse_ESS 0.0005169007927179337
Step 900: ELBO -212.3085174560547; Δ lnZ -148.4226837158203; reverse_ESS 0.0005056270165368915
Step 1000: ELBO -211.9259033203125; Δ lnZ -146.7243194580078; reverse_ESS 0.000500006484799087
Step 1100: ELBO -212.07232666015625; Δ lnZ -153.3365478515625; reverse_ESS 0.0006827195757068694
Step 1200: ELBO -211.28697204589844; Δ lnZ -155.23388671875; reverse_ESS 0.0006595876766368747
Step 1300: ELBO -211.64576721191406; Δ lnZ -150.86419677734375; reverse_ESS 0.0005257001612335443
Step 1400: ELBO -212.20884704589844; Δ lnZ -153.38662719726562; reverse_ESS 0.0010050388518720865
Step 1500: ELBO -211.47216796875; Δ lnZ -136.38563537597656; reverse_ESS 0.000500017311424017
Step 1600: ELBO -211.58834838867188; Δ lnZ -153.93292236328125; reverse_ESS 0.0006236370536498725
Step 1700: ELBO -210.84841918945312; Δ lnZ -144.24517822265625; reverse_ESS 0.000532895908690989
Step 1800: ELBO -211.25730895996094; Δ lnZ -141.3394317626953; reverse_ESS 0.0005004527629353106
Step 1900: ELBO -210.73094177246094; Δ lnZ -151.08758544921875; reverse_ESS 0.0008691577240824699
Step 2000: ELBO -211.1133270263672; Δ lnZ -160.26954650878906; reverse_ESS 0.0005026643048040569
Step 2100: ELBO -210.11813354492188; Δ lnZ -147.6068572998047; reverse_ESS 0.0007039371412247419
Step 2200: ELBO -210.7414093017578; Δ lnZ -152.7325897216797; reverse_ESS 0.0015700031071901321
Step 2300: ELBO -211.20066833496094; Δ lnZ -143.68260192871094; reverse_ESS 0.0005000009550713003
Step 2400: ELBO -211.01502990722656; Δ lnZ -145.92843627929688; reverse_ESS 0.0005078723770566285
Step 2500: ELBO -210.30291748046875; Δ lnZ -149.10687255859375; reverse_ESS 0.0007035365561023355
Step 2600: ELBO -210.15719604492188; Δ lnZ -153.43991088867188; reverse_ESS 0.000636393902823329
Step 2700: ELBO -210.06622314453125; Δ lnZ -151.11485290527344; reverse_ESS 0.0005014735506847501
Step 2800: ELBO -210.94729614257812; Δ lnZ -143.00091552734375; reverse_ESS 0.0005000217352062464
Step 2900: ELBO -211.25022888183594; Δ lnZ -132.49859619140625; reverse_ESS 0.0005000002565793693
Step 3000: ELBO -210.0541229248047; Δ lnZ -139.9759979248047; reverse_ESS 0.0005028945161029696
Step 3100: ELBO -210.53712463378906; Δ lnZ -157.7945098876953; reverse_ESS 0.0005411242600530386
Step 3200: ELBO -210.35659790039062; Δ lnZ -136.57484436035156; reverse_ESS 0.0005000066012144089
Step 3300: ELBO -210.4003143310547; Δ lnZ -140.48780822753906; reverse_ESS 0.0005000001401640475
Step 3400: ELBO -210.04713439941406; Δ lnZ -156.2161102294922; reverse_ESS 0.0006320081884041429
Step 3500: ELBO -209.4471435546875; Δ lnZ -148.6715850830078; reverse_ESS 0.0013578077778220177
Step 3600: ELBO -209.58465576171875; Δ lnZ -139.17713928222656; reverse_ESS 0.0005000351811759174
Step 3700: ELBO -210.17210388183594; Δ lnZ -133.6153564453125; reverse_ESS 0.0005000000237487257
Step 3800: ELBO -210.05123901367188; Δ lnZ -157.4332733154297; reverse_ESS 0.0006238703499548137
Step 3900: ELBO -209.88829040527344; Δ lnZ -154.12594604492188; reverse_ESS 0.0005073195206932724
Step 4000: ELBO -209.83694458007812; Δ lnZ -148.88938903808594; reverse_ESS 0.0005844239494763315
Step 4100: ELBO -210.3074493408203; Δ lnZ -148.98399353027344; reverse_ESS 0.0005057734088040888
Step 4200: ELBO -209.8782958984375; Δ lnZ -136.54971313476562; reverse_ESS 0.0005000007222406566
Step 4300: ELBO -210.528564453125; Δ lnZ -151.64886474609375; reverse_ESS 0.0011360258795320988
Step 4400: ELBO -210.10365295410156; Δ lnZ -156.98878479003906; reverse_ESS 0.0010143666295334697
Step 4500: ELBO -210.10275268554688; Δ lnZ -146.01272583007812; reverse_ESS 0.0005159378633834422
Step 4600: ELBO -210.05055236816406; Δ lnZ -150.4986572265625; reverse_ESS 0.0011976499808952212
Step 4700: ELBO -209.6897735595703; Δ lnZ -159.79490661621094; reverse_ESS 0.0006699534715153277
Step 4800: ELBO -210.22413635253906; Δ lnZ -136.7607879638672; reverse_ESS 0.0005000000237487257
Step 4900: ELBO -209.4734649658203; Δ lnZ -145.70880126953125; reverse_ESS 0.0005002833204343915
Step 5000: ELBO -210.02786254882812; Δ lnZ -157.26463317871094; reverse_ESS 0.0005144075839780271
Step 5100: ELBO -210.42282104492188; Δ lnZ -150.95782470703125; reverse_ESS 0.0005016570212319493
Step 5200: ELBO -210.3337860107422; Δ lnZ -145.8562469482422; reverse_ESS 0.0005005170241929591
Step 5300: ELBO -210.18624877929688; Δ lnZ -156.72775268554688; reverse_ESS 0.0016890744445845485
Step 5400: ELBO -210.18894958496094; Δ lnZ -146.62161254882812; reverse_ESS 0.0005541458958759904
Step 5500: ELBO -210.2337188720703; Δ lnZ -144.2264404296875; reverse_ESS 0.000500013236887753
Step 5600: ELBO -210.08868408203125; Δ lnZ -150.96786499023438; reverse_ESS 0.0005002937978133559
Step 5700: ELBO -209.48294067382812; Δ lnZ -138.81932067871094; reverse_ESS 0.0005000031087547541
Step 5800: ELBO -210.46746826171875; Δ lnZ -151.4947052001953; reverse_ESS 0.0007304982864297926
Step 5900: ELBO -210.39389038085938; Δ lnZ -149.1957244873047; reverse_ESS 0.0005001746467314661
Step 6000: ELBO -209.82095336914062; Δ lnZ -147.63284301757812; reverse_ESS 0.0005011145840398967
Step 6100: ELBO -210.7028350830078; Δ lnZ -160.62188720703125; reverse_ESS 0.0008488271851092577
Step 6200: ELBO -210.54806518554688; Δ lnZ -142.54644775390625; reverse_ESS 0.000502981070894748
Step 6300: ELBO -210.25006103515625; Δ lnZ -154.1524200439453; reverse_ESS 0.0005042834091000259
Step 6400: ELBO -210.06863403320312; Δ lnZ -142.4589080810547; reverse_ESS 0.000500241294503212
Step 6500: ELBO -211.02871704101562; Δ lnZ -154.067626953125; reverse_ESS 0.0005502688582055271
Step 6600: ELBO -209.66012573242188; Δ lnZ -152.25416564941406; reverse_ESS 0.0005637594731524587
Step 6700: ELBO -209.84878540039062; Δ lnZ -140.1682586669922; reverse_ESS 0.0005000000237487257
Step 6800: ELBO -210.36737060546875; Δ lnZ -138.28526306152344; reverse_ESS 0.0005000008386559784
Step 6900: ELBO -210.27191162109375; Δ lnZ -147.12405395507812; reverse_ESS 0.0005328698316588998
Step 7000: ELBO -209.5966339111328; Δ lnZ -137.93606567382812; reverse_ESS 0.0005085665616206825
Step 7100: ELBO -209.6104736328125; Δ lnZ -151.82537841796875; reverse_ESS 0.0006024397443979979
Step 7200: ELBO -209.82107543945312; Δ lnZ -145.87405395507812; reverse_ESS 0.0005000098026357591
Step 7300: ELBO -210.6336669921875; Δ lnZ -150.95396423339844; reverse_ESS 0.0009290089947171509
Step 7400: ELBO -210.91453552246094; Δ lnZ -144.5631561279297; reverse_ESS 0.0005006113206036389
Step 7500: ELBO -210.56460571289062; Δ lnZ -157.45018005371094; reverse_ESS 0.0009259416838176548
Step 7600: ELBO -210.46463012695312; Δ lnZ -157.39111328125; reverse_ESS 0.0016871308907866478
Step 7700: ELBO -209.9118194580078; Δ lnZ -156.36944580078125; reverse_ESS 0.00062054384034127
Step 7800: ELBO -210.07400512695312; Δ lnZ -147.3240203857422; reverse_ESS 0.0005046720034442842
Step 7900: ELBO -211.11700439453125; Δ lnZ -148.22825622558594; reverse_ESS 0.000539757136721164
Step 8000: ELBO -211.43212890625; Δ lnZ -140.26992797851562; reverse_ESS 0.0005707148229703307
Step 8100: ELBO -210.3517303466797; Δ lnZ -148.63922119140625; reverse_ESS 0.0005406081327237189
Step 8200: ELBO -209.48544311523438; Δ lnZ -138.87269592285156; reverse_ESS 0.000500001828186214
